Pair,Total_MCCs,Size_over_1,Size_over_3,Size_over_5,Max_Clade_Size,Frag_Rate
Seg1-Seg3,664,77,9,1,6,0.8545688545688546
Seg2-Seg4,655,89,8,1,6,0.842985842985843
Seg1-Seg2,666,82,7,0,4,0.8571428571428571
Seg4-Seg6,662,80,7,2,10,0.851994851994852
Seg1-Seg4,672,73,7,1,6,0.8648648648648649
Seg2-Seg3,671,83,6,0,4,0.8635778635778636
Seg5-Seg6,666,81,5,1,6,0.8571428571428571
Seg3-Seg5,668,77,5,1,6,0.8597168597168597
Seg1-Seg5,672,74,5,1,6,0.8648648648648649
Seg3-Seg4,682,69,5,0,5,0.8777348777348777
Seg6-Seg7,707,56,5,0,4,0.9099099099099099
Seg1-Seg8,715,45,5,0,5,0.9202059202059202
Seg2-Seg5,682,73,4,1,7,0.8777348777348777
Seg3-Seg6,677,72,4,0,5,0.8712998712998713
Seg2-Seg6,685,69,4,1,6,0.8815958815958816
Seg4-Seg5,683,69,4,0,5,0.879021879021879
Seg1-Seg7,707,52,4,0,5,0.9099099099099099
Seg3-Seg8,712,48,4,0,5,0.9163449163449163
Seg4-Seg7,693,62,3,1,8,0.8918918918918919
Seg3-Seg7,714,51,3,0,5,0.918918918918919
Seg5-Seg8,719,43,3,0,5,0.9253539253539254
Seg4-Seg8,718,40,3,0,5,0.924066924066924
Seg5-Seg7,707,57,2,0,5,0.9099099099099099
Seg2-Seg8,713,49,2,0,4,0.9176319176319176
Seg6-Seg8,730,38,2,0,4,0.9395109395109396
Seg1-Seg6,678,79,1,0,4,0.8725868725868726
Seg7-Seg8,735,33,1,0,5,0.9459459459459459
Seg2-Seg7,706,64,0,0,3,0.9086229086229086
