"Window_Scheme","Window_Type","Window_Size","Train_Start_Index","Train_End_Index","Train_Periods","Train_Range_Label","Test_Index","Test_Period","Model_Name","Formula","AUC","AIC","N_Fixed_Terms","Error","Class","AUC_ha_dN_only","AUC_control1_all_dN","AUC_control2_all_dN_all_dS","Delta_vs_HA_dN_Only","Delta_vs_Control1_All_dN","Delta_vs_Control2_All_dN_All_dS","Row_Selection_Score","Control2_dS_warning","Selected_Representative_Model","Comparison_Group"
"rolling_width_8","rolling",8,1,8,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13","Mos99-Swtz13 -> HK15",9,"HK15","Representative_dN_HA_PB2_M","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.933707865168539,530.070747732594,3,NA,"representative_dN_candidate",0.932209737827715,0.940074906367041,0.857303370786517,0.001498127340824,-0.00636704119850184,0.0764044943820225,0.918707865168539,TRUE,"Representative_dN_HA_PB2_M","1_Selected_representative_dN_subset"
"rolling_width_8","rolling",8,1,8,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13","Mos99-Swtz13 -> HK15",9,"HK15","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.932209737827715,527.343558008913,1,NA,"ha_dN_only",0.932209737827715,0.940074906367041,0.857303370786517,0,-0.00786516853932584,0.0749063670411985,0.927209737827715,TRUE,"Representative_dN_HA_PB2_M","2_HA_dN_only"
"rolling_width_8","rolling",8,1,8,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13","Mos99-Swtz13 -> HK15",9,"HK15","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.940074906367041,528.743415490793,8,NA,"control1_all_dN",0.932209737827715,0.940074906367041,0.857303370786517,0.00786516853932584,0,0.0827715355805243,0.900074906367041,TRUE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
"rolling_width_8","rolling",8,1,8,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13","Mos99-Swtz13 -> HK15",9,"HK15","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.857303370786517,504.184656560428,16,NA,"control2_all_dN_all_dS",0.932209737827715,0.940074906367041,0.857303370786517,-0.0749063670411985,-0.0827715355805243,0,0.777303370786517,TRUE,"Representative_dN_HA_PB2_M","4_Control2_all_dN_all_dS"
"rolling_width_8","rolling",8,2,9,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15","Fuj02-HK15 -> Kan17",10,"Kan17","Representative_dN_HA_PB2_M","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.684210526315789,597.009520829355,3,NA,"representative_dN_candidate",0.715789473684211,0.684210526315789,0.51578947368421,-0.0315789473684212,0,0.168421052631579,0.669210526315789,FALSE,"Representative_dN_HA_PB2_M","1_Selected_representative_dN_subset"
"rolling_width_8","rolling",8,2,9,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15","Fuj02-HK15 -> Kan17",10,"Kan17","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.715789473684211,601.963322585835,1,NA,"ha_dN_only",0.715789473684211,0.684210526315789,0.51578947368421,0,0.0315789473684212,0.2,0.710789473684211,FALSE,"Representative_dN_HA_PB2_M","2_HA_dN_only"
"rolling_width_8","rolling",8,2,9,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15","Fuj02-HK15 -> Kan17",10,"Kan17","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.684210526315789,591.715344636393,8,NA,"control1_all_dN",0.715789473684211,0.684210526315789,0.51578947368421,-0.0315789473684212,0,0.168421052631579,0.644210526315789,FALSE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
"rolling_width_8","rolling",8,2,9,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15","Fuj02-HK15 -> Kan17",10,"Kan17","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.51578947368421,559.063044259318,16,NA,"control2_all_dN_all_dS",0.715789473684211,0.684210526315789,0.51578947368421,-0.2,-0.168421052631579,0,0.43578947368421,FALSE,"Representative_dN_HA_PB2_M","4_Control2_all_dN_all_dS"
"rolling_width_8","rolling",8,3,10,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Cal04-Kan17 -> HK19",11,"HK19","Representative_dN_HA_PB2_M","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.881481481481481,567.848478970174,3,NA,"representative_dN_candidate",0.888888888888889,0.762962962962963,0.77037037037037,-0.00740740740740742,0.118518518518518,0.111111111111111,0.866481481481481,TRUE,"Representative_dN_HA_PB2_M","1_Selected_representative_dN_subset"
"rolling_width_8","rolling",8,3,10,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Cal04-Kan17 -> HK19",11,"HK19","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.888888888888889,571.700115166178,1,NA,"ha_dN_only",0.888888888888889,0.762962962962963,0.77037037037037,0,0.125925925925926,0.118518518518518,0.883888888888889,TRUE,"Representative_dN_HA_PB2_M","2_HA_dN_only"
"rolling_width_8","rolling",8,3,10,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Cal04-Kan17 -> HK19",11,"HK19","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.762962962962963,554.468783745941,8,NA,"control1_all_dN",0.888888888888889,0.762962962962963,0.77037037037037,-0.125925925925926,0,-0.00740740740740742,0.722962962962963,TRUE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
"rolling_width_8","rolling",8,3,10,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Cal04-Kan17 -> HK19",11,"HK19","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.77037037037037,525.987978449149,16,NA,"control2_all_dN_all_dS",0.888888888888889,0.762962962962963,0.77037037037037,-0.118518518518518,0.00740740740740742,0,0.69037037037037,TRUE,"Representative_dN_HA_PB2_M","4_Control2_all_dN_all_dS"
"rolling_width_8","rolling",8,4,11,"Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Wis05-HK19 -> Cam20",12,"Cam20","Representative_dN_HA_PB2_M","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.895424836601307,585.816336956398,3,NA,"representative_dN_candidate",0.464052287581699,0.705882352941176,0.431372549019608,0.431372549019608,0.189542483660131,0.464052287581699,0.880424836601307,FALSE,"Representative_dN_HA_PB2_M","1_Selected_representative_dN_subset"
"rolling_width_8","rolling",8,4,11,"Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Wis05-HK19 -> Cam20",12,"Cam20","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.464052287581699,588.365573179718,1,NA,"ha_dN_only",0.464052287581699,0.705882352941176,0.431372549019608,0,-0.241830065359477,0.0326797385620914,0.459052287581699,FALSE,"Representative_dN_HA_PB2_M","2_HA_dN_only"
"rolling_width_8","rolling",8,4,11,"Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Wis05-HK19 -> Cam20",12,"Cam20","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.705882352941176,575.858862414077,8,NA,"control1_all_dN",0.464052287581699,0.705882352941176,0.431372549019608,0.241830065359477,0,0.274509803921569,0.665882352941176,FALSE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
