"Window_Scheme","Window_Type","Window_Size","Train_Start_Index","Train_End_Index","Train_Periods","Train_Range_Label","Test_Index","Test_Period","Model_Name","Formula","AUC","AIC","N_Fixed_Terms","Error","Class","AUC_ha_dN_only","AUC_control1_all_dN","AUC_control2_all_dN_all_dS","Delta_vs_HA_dN_Only","Delta_vs_Control1_All_dN","Delta_vs_Control2_All_dN_All_dS","Row_Selection_Score","Control2_dS_warning","Selected_Representative_Model","Comparison_Group"
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","Representative_dN_HA_x_PB1_plus_PB2_NA","dom_binary ~ HA * PB1 + PB2 + NA_seg + (1 | vaccine_code)",0.807407407407407,717.394446346818,5,NA,"representative_dN_candidate",0.888888888888889,0.762962962962963,0.822222222222222,-0.0814814814814815,0.0444444444444444,-0.0148148148148148,0.782407407407407,TRUE,"Representative_dN_HA_x_PB1_plus_PB2_NA","1_Selected_representative_dN_subset"
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.888888888888889,725.210822144229,1,NA,"ha_dN_only",0.888888888888889,0.762962962962963,0.822222222222222,0,0.125925925925926,0.0666666666666667,0.883888888888889,TRUE,"Representative_dN_HA_x_PB1_plus_PB2_NA","2_HA_dN_only"
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.762962962962963,708.841507538677,8,NA,"control1_all_dN",0.888888888888889,0.762962962962963,0.822222222222222,-0.125925925925926,0,-0.0592592592592592,0.722962962962963,TRUE,"Representative_dN_HA_x_PB1_plus_PB2_NA","3_Control1_all_dN"
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.822222222222222,664.349808242154,16,NA,"control2_all_dN_all_dS",0.888888888888889,0.762962962962963,0.822222222222222,-0.0666666666666667,0.0592592592592592,0,0.742222222222222,TRUE,"Representative_dN_HA_x_PB1_plus_PB2_NA","4_Control2_all_dN_all_dS"
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","Representative_dN_HA_x_PB1_plus_PB2_NA","dom_binary ~ HA * PB1 + PB2 + NA_seg + (1 | vaccine_code)",0.928104575163399,661.109534597536,5,NA,"representative_dN_candidate",0.464052287581699,0.712418300653595,0.431372549019608,0.464052287581699,0.215686274509804,0.496732026143791,0.903104575163399,FALSE,"Representative_dN_HA_x_PB1_plus_PB2_NA","1_Selected_representative_dN_subset"
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.464052287581699,662.519172034212,1,NA,"ha_dN_only",0.464052287581699,0.712418300653595,0.431372549019608,0,-0.248366013071895,0.0326797385620914,0.459052287581699,FALSE,"Representative_dN_HA_x_PB1_plus_PB2_NA","2_HA_dN_only"
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.712418300653595,652.880289770485,8,NA,"control1_all_dN",0.464052287581699,0.712418300653595,0.431372549019608,0.248366013071895,0,0.281045751633987,0.672418300653595,FALSE,"Representative_dN_HA_x_PB1_plus_PB2_NA","3_Control1_all_dN"
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.431372549019608,630.929270172325,16,NA,"control2_all_dN_all_dS",0.464052287581699,0.712418300653595,0.431372549019608,-0.0326797385620914,-0.281045751633987,0,0.351372549019608,FALSE,"Representative_dN_HA_x_PB1_plus_PB2_NA","4_Control2_all_dN_all_dS"
"rolling_width_10","rolling",10,3,12,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20","Cal04-Cam20 -> Dar21",13,"Dar21","Representative_dN_HA_x_PB1_plus_PB2_NA","dom_binary ~ HA * PB1 + PB2 + NA_seg + (1 | vaccine_code)",0.6675,615.45316832244,5,NA,"representative_dN_candidate",0.60375,0.515,0.5125,0.06375,0.1525,0.155,0.6425,FALSE,"Representative_dN_HA_x_PB1_plus_PB2_NA","1_Selected_representative_dN_subset"
"rolling_width_10","rolling",10,3,12,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20","Cal04-Cam20 -> Dar21",13,"Dar21","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.60375,626.560067437545,1,NA,"ha_dN_only",0.60375,0.515,0.5125,0,0.08875,0.0912500000000001,0.59875,FALSE,"Representative_dN_HA_x_PB1_plus_PB2_NA","2_HA_dN_only"
