"Window_Scheme","Test_Period","Test_Index","Train_Range_Label","Model_Name","Model_Role","Formula","Train_AUC_FixedOnly","Selected_Train_AUC_FixedOnly","Delta_Train_AUC_FixedOnly_vs_Selected","Train_AUC_ConditionalRE","Selected_Train_AUC_ConditionalRE","Delta_Train_AUC_ConditionalRE_vs_Selected","Test_AUC_FixedOnly","Selected_Test_AUC_FixedOnly","Delta_Test_AUC_vs_Selected"
"rolling_width_10","HK19",11,"Mos99-Kan17 -> HK19","2_HA_dN_Only","HA dN only baseline","dom_binary ~ HA + (1 | vaccine_code)",0.689343576648763,0.699084265210883,-0.00974068856212029,0.809731883419917,0.818173813507088,-0.00844193008717098,0.888888888888889,0.807407407407407,0.0814814814814815
"rolling_width_10","HK19",11,"Mos99-Kan17 -> HK19","3_Control1_All_dN_PB2_to_NS","Control 1: all dN segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.705225851897508,0.699084265210883,0.00614158668662501,0.829752575504094,0.818173813507088,0.0115787619970062,0.762962962962963,0.807407407407407,-0.0444444444444444
"rolling_width_10","HK19",11,"Mos99-Kan17 -> HK19","4_Control2_All_dN_All_dS_PB2_to_NS","Control 2: all dN + all dS segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.710442898652813,0.699084265210883,0.01135863344193,0.859690058994453,0.818173813507088,0.0415162454873645,0.822222222222222,0.807407407407407,0.0148148148148148
"rolling_width_10","Cam20",12,"Fuj02-HK19 -> Cam20","2_HA_dN_Only","HA dN only baseline","dom_binary ~ HA + (1 | vaccine_code)",0.750452380952381,0.760261904761905,-0.00980952380952382,0.812,0.815714285714286,-0.00371428571428578,0.464052287581699,0.928104575163399,-0.464052287581699
"rolling_width_10","Cam20",12,"Fuj02-HK19 -> Cam20","3_Control1_All_dN_PB2_to_NS","Control 1: all dN segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.756285714285714,0.760261904761905,-0.00397619047619047,0.830190476190476,0.815714285714286,0.0144761904761905,0.712418300653595,0.928104575163399,-0.215686274509804
"rolling_width_10","Cam20",12,"Fuj02-HK19 -> Cam20","4_Control2_All_dN_All_dS_PB2_to_NS","Control 2: all dN + all dS segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.776261904761905,0.760261904761905,0.016,0.850928571428571,0.815714285714286,0.0352142857142856,0.431372549019608,0.928104575163399,-0.496732026143791
"rolling_width_10","Dar21",13,"Cal04-Cam20 -> Dar21","2_HA_dN_Only","HA dN only baseline","dom_binary ~ HA + (1 | vaccine_code)",0.773031394750386,0.793127956277725,-0.0200965615273387,0.818028086170135,0.827463666887239,-0.00943558071710415,0.60375,0.6675,-0.06375
"rolling_width_10","Dar21",13,"Cal04-Cam20 -> Dar21","3_Control1_All_dN_PB2_to_NS","Control 1: all dN segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.784084503590422,0.793127956277725,-0.00904345268730244,0.838835379751489,0.827463666887239,0.0113717128642501,0.515,0.6675,-0.1525
"rolling_width_10","Dar21",13,"Cal04-Cam20 -> Dar21","4_Control2_All_dN_All_dS_PB2_to_NS","Control 2: all dN + all dS segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.826189250790383,0.793127956277725,0.0330612945126584,0.859152513295591,0.827463666887239,0.0316888464083522,0.5125,0.6675,-0.155
"rolling_width_10","TH22",14,"Wis05-Dar21 -> TH22","2_HA_dN_Only","HA dN only baseline","dom_binary ~ HA + (1 | vaccine_code)",0.758429276315789,0.773108552631579,-0.0146792763157895,0.800606496710526,0.805530427631579,-0.00492393092105259,0.909090909090909,0.909090909090909,0
"rolling_width_10","TH22",14,"Wis05-Dar21 -> TH22","3_Control1_All_dN_PB2_to_NS","Control 1: all dN segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.758511513157895,0.773108552631579,-0.0145970394736842,0.817680921052632,0.805530427631579,0.0121504934210527,0.909090909090909,0.909090909090909,0
"rolling_width_10","TH22",14,"Wis05-Dar21 -> TH22","4_Control2_All_dN_All_dS_PB2_to_NS","Control 2: all dN + all dS segments","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.776850328947368,0.773108552631579,0.00374177631578942,0.830489309210526,0.805530427631579,0.0249588815789474,0.909090909090909,0.909090909090909,0
