"Window_Scheme","Window_Type","Window_Size","Test_Index","Test_Period","Train_Range_Label","Term","Beta","SE","CI95_Low_Beta","CI95_High_Beta","OR","OR_CI95_Low","OR_CI95_High","Error"
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","(Intercept)",0.196252556180565,1.06289412390656,-1.8870199266763,2.27952503903743,1.2168341855242,0.151522685392766,9.77203797056677,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","HA",2.22707906109363,0.5124445414938,1.22268775976578,3.23147036242148,9.27274137291874,3.39630392611061,25.3168545688742,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","PB1",0.246129645114697,0.203613469003335,-0.15295275413184,0.645212044361233,1.27906538737188,0.858170265852856,1.90639122592636,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","PB2",0.33449209232129,0.209945168024505,-0.0770004370067393,0.745984621649319,1.3972305408494,0.925889448986478,2.10851650423204,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","NA_seg",0.145727861414241,0.316881210510855,-0.475359311187035,0.766815034015516,1.15688131316348,0.621661646346464,2.15289841445512,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","HA:PB1",-0.433717605283005,0.198378321991005,-0.822539116385375,-0.0448960941806345,0.648095248320265,0.439314765830632,0.956096820695615,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","(Intercept)",-0.382408304110879,0.476094891887681,-1.31555429221073,0.550737683988977,0.682216444551912,0.26832555124847,1.7345320825823,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","HA",1.0615235370619,0.234406405093609,0.602086983078426,1.52096009104537,2.89077183401828,1.82592550237344,4.57661705556502,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","PB1",0.29563657695537,0.198933484492726,-0.0942730526503717,0.685546206561113,1.34398163416982,0.910034241051178,1.98485568070421,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","PB2",0.100698120159223,0.179866102707316,-0.251839441147116,0.453235681465562,1.10594272955017,0.777369541611389,1.57339496285066,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","NA_seg",-0.0331898491367859,0.242649863323323,-0.508783581250499,0.442403882976927,0.967354890663932,0.601226477342539,1.55644423483746,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","HA:PB1",-0.221073926144393,0.179253088247733,-0.572409979109949,0.130262126821163,0.801657414657793,0.564164175173309,1.13912693991673,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","(Intercept)",-0.2395760628348,0.215132822750734,-0.661236395426239,0.18208426975664,0.786961412549481,0.516212696751434,1.19971528933563,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","HA",0.619251514588976,0.181850839754843,0.262823868669484,0.975679160508468,1.857537181911,1.30059762278704,2.65296839062946,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","PB1",0.0406666704119949,0.184020509518039,-0.320013528243361,0.401346869067351,1.04150488328532,0.726139213619248,1.49383534391512,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","PB2",-0.013523729146901,0.175639269668263,-0.357776697696696,0.330729239402894,0.986567305639453,0.699229197064912,1.39198284717269,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","NA_seg",0.432541442221701,0.167446300584605,0.104346693075875,0.760736191367527,1.54116934345087,1.10998521240281,2.139850980583,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","HA:PB1",-0.343167898161678,0.162551634391138,-0.661769101568309,-0.0245666947550472,0.709519074610749,0.515937780308601,0.975732610500788,NA
"rolling_width_6","rolling",6,10,"Kan17","Wis05-HK15 -> Kan17","(Intercept)",-0.495389088613383,0.276997325565574,-1.03830384672191,0.0475256694951414,0.609333776332701,0.354054703997063,1.04867311968534,NA
