"Feature_Scheme","Model","Predictors","N_Predictors","N_Splits","Test_Periods","Mean_Train_AUC","Median_Train_AUC","Min_Train_AUC","SD_Train_AUC","Mean_Test_AUC","Median_Test_AUC","Min_Test_AUC","SD_Test_AUC","Mean_Train_minus_Test_AUC","Median_Train_minus_Test_AUC","Mean_Tune_CV_AUC"
"4_All_dN_All_dS_PB2_to_NS","Ridge","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,"HK19,Cam20,Dar21,TH22",0.715596356170428,0.722740523182957,0.661200140882275,0.0405965161872964,0.799166790453555,0.828619528619529,0.5525,0.192167487983978,-0.0835704342831271,-0.130790839757338,0.749188157623178
"4_All_dN_All_dS_PB2_to_NS","DNN","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,"HK19,Cam20,Dar21,TH22",0.865166082700895,0.854046248433584,0.833472748084882,0.0384633125100551,0.793916926619132,0.77516339869281,0.71625,0.0885063012524979,0.0712491560817625,0.0627039277305828,0.724828411810843
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","XGBoost","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,"HK19,Cam20,Dar21,TH22",0.912558021967435,0.908040014016324,0.884354440789474,0.0303640579531535,0.788967988710636,0.834640522875817,0.5775,0.146281764855974,0.123590033256799,0.0860406235327332,0.748030141095627
"3_All_dN_PB2_to_NS","Ridge","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,"HK19,Cam20,Dar21,TH22",0.734378730897395,0.743351249216792,0.672756890023774,0.044486760425326,0.783182313329372,0.817508417508418,0.55,0.183098712062313,-0.0488035824319775,-0.106469199470215,0.744350296085369
"3_All_dN_PB2_to_NS","RandomForest","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,"HK19,Cam20,Dar21,TH22",1,1,1,0,0.769542050406021,0.760942760942761,0.64125,0.121555046963283,0.230457949593979,0.239057239057239,0.746475114705039
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","DNN","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,"HK19,Cam20,Dar21,TH22",0.819740389269895,0.820858897596196,0.807010690789474,0.0108023144828981,0.768927139037433,0.747058823529412,0.6725,0.100074823565692,0.0508132502324617,0.0738000740667845,0.752681504099756
"4_All_dN_All_dS_PB2_to_NS","RandomForest","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,"HK19,Cam20,Dar21,TH22",1,1,1,0,0.76430109922757,0.786363636363636,0.625,0.0996806298276887,0.23569890077243,0.213636363636364,0.719832921294253
"2_HA_dN_Only","SVM_Radial","HA",1,4,"HK19,Cam20,Dar21,TH22",0.733494966625183,0.74369494047619,0.684170555604473,0.0342665277669556,0.762157543572985,0.72244008714597,0.60375,0.192424754539533,-0.0286625769478021,-0.0108786188675425,0.763255327938795
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","Ridge","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,"HK19,Cam20,Dar21,TH22",0.750954933792116,0.757711133302005,0.720414722197763,0.0210313754425678,0.760260076252723,0.696990740740741,0.647058823529412,0.162046131841393,-0.00930514246060776,0.0472079935414854,0.758742924215847
"4_All_dN_All_dS_PB2_to_NS","Lasso","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,"HK19,Cam20,Dar21,TH22",0.75063641937543,0.761340695488722,0.689750814475654,0.0428989484008533,0.747911343830461,0.762527233115468,0.5575,0.161885098738635,0.00272507554496887,-0.0298060662462752,0.764697561582138
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","Logistic","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,"HK19,Cam20,Dar21,TH22",0.764736697815522,0.769983885494987,0.722616007748525,0.0317543328571808,0.734579372152902,0.694351851851852,0.640522875816993,0.119320747110066,0.0301573256626207,0.0651376582842052,NA
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","RandomForest","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,"HK19,Cam20,Dar21,TH22",1,1,1,0,0.728476430976431,0.807407407407407,0.39,0.231951081060771,0.271523569023569,0.192592592592593,0.753616675600771
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","SVM_Radial","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,"HK19,Cam20,Dar21,TH22",0.851385339090638,0.846189655311602,0.814185855263158,0.0377480210907428,0.717004481085363,0.704953703703704,0.549019607843137,0.16970570481312,0.134380858005275,0.141235951607899,0.744028429637957
