Window_Scheme,Window_Type,Window_Size,Train_Start_Index,Train_End_Index,Train_Periods,Train_Range_Label,Test_Index,Test_Period,Feature_Scheme,Predictors,N_Predictors,Train_N,Train_Pos,Train_Neg,Test_N,Test_Pos,Test_Neg,Model,Tune_CV_AUC,Train_AUC,Test_AUC,Error,Has_Test_AUC,Run_Status,Feature_Display,Model_Group,Model_Display
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,Logistic,NA,0.7226160077485252,0.7037037037037037,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Logistic Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,Ridge,0.7189561850998412,0.7204147221977635,0.6814814814814815,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Ridge Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,Lasso,0.7186014504328755,0.7236946376683984,0.7037037037037037,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Lasso Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,SVM_Radial,0.7352722096471969,0.8631020515981332,0.8074074074074074,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Support Vector Machine (SVC)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,RandomForest,0.7203584951376569,1,0.837037037037037,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Random Forest (RFC)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,XGBoost,0.7438964678906358,0.8915646737694813,0.8555555555555555,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,XGBoost Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,DNN,0.6977946195318465,0.8147177951923923,0.7555555555555555,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Deep Neural Network (DNN)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,2_HA_dN_Only,HA,1,636,82,554,24,9,15,Logistic,NA,0.6893435766487629,0.8888888888888888,NA,TRUE,OK,"HA dN
only",ML/DL,Logistic Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,2_HA_dN_Only,HA,1,636,82,554,24,9,15,Ridge,NA,0.6893435766487629,0.8888888888888888,NA,TRUE,OK,"HA dN
only",ML/DL,Ridge Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,2_HA_dN_Only,HA,1,636,82,554,24,9,15,Lasso,NA,0.6893435766487629,0.8888888888888888,NA,TRUE,OK,"HA dN
only",ML/DL,Lasso Classifier
