Feature_Scheme,Feature_Display,Model,Model_Display,Model_Group,Predictors,N_Predictors,N_Splits,Mean_Train_AUC,Median_Train_AUC,SD_Train_AUC,Mean_Test_AUC,Median_Test_AUC,SD_Test_AUC
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",DNN,Deep Neural Network (DNN),ML/DL,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,0.8197403892698949,0.8208588975961961,0.01080231448289812,0.7689271390374331,0.7470588235294118,0.10007482356569188
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",Lasso,Lasso Classifier,ML/DL,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,0.7631073474553889,0.7651932957393484,0.032856090795543476,0.647336725094078,0.6081018518518518,0.20286827958534237
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",Logistic,Logistic Classifier,ML/DL,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,0.7647366978155222,0.7699838854949874,0.03175433285718084,0.7345793721529016,0.6943518518518519,0.11932074711006598
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",RandomForest,Random Forest (RFC),ML/DL,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,1,1,0,0.728476430976431,0.8074074074074074,0.2319510810607707
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",Regression_GLMM,GLMM Baseline,Regression,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,0.756395669720523,0.766685228696742,0.040530343329337304,0.8280257229154288,0.858249158249158,0.1194165869674249
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",Ridge,Ridge Classifier,ML/DL,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,0.7509549337921155,0.757711133302005,0.02103137544256778,0.7602600762527233,0.6969907407407407,0.16204613184139322
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",SVM_Radial,Support Vector Machine (SVC),ML/DL,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,0.8513853390906383,0.8461896553116024,0.037748021090742774,0.7170044810853634,0.7049537037037037,0.16970570481312025
1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"Selected dN
HA × PB1 + PB2 + NA",XGBoost,XGBoost Classifier,ML/DL,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,0.9125580219674352,0.9080400140163241,0.030364057953153452,0.7889679887106358,0.8346405228758169,0.146281764855974
2_HA_dN_Only,"HA dN
only",DNN,Deep Neural Network (DNN),ML/DL,HA,1,4,0.7428141571668299,0.7544408286340852,0.0368526744246806,0.7164455213903743,0.7463194444444444,0.2185189430464141
2_HA_dN_Only,"HA dN
only",Lasso,Lasso Classifier,ML/DL,HA,1,4,0.7428141571668299,0.7544408286340852,0.0368526744246806,0.7164455213903743,0.7463194444444444,0.2185189430464141
