vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	4.01557285873192	4	4	6	44.0645161290323	44	43	48
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	1	1	1	1	10.0611790878754	10	10	12
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	5.02002224694105	5	5	7	43.3070077864294	43	43	47
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	8.01557285873192	8	8	10	38.321468298109	38	38	44
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	2	2	2	2	11.0244716351502	11	11	13
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	7.01557285873192	7	7	9	35.3114571746385	35	35	41
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	2.00222469410456	2	2	4	11.0989988876529	11	11	15
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	6.01779755283648	6	6	8	43.3359288097887	43	43	47
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	5.02002224694105	5	5	7	43.3181312569522	43	43	47
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	6.01334816462736	6	6	8	41.3815350389321	41	41	45
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	5.01779755283648	5	5	7	44.3314794215795	44	44	48
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	6.01557285873192	6	6	8	41.3192436040044	41	41	45
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	6.01779755283648	6	6	8	42.3426028921023	42	42	46
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	4.01557285873192	4	4	6	42.6685205784205	42	41	47
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	7.01557285873192	7	7	9	33.3036707452725	33	33	39
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	5.01779755283648	5	5	7	40.357063403782	40	40	44
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	5.01557285873192	5	5	7	40.3615127919911	40	40	44
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	6.01557285873192	6	6	8	43.3103448275862	43	43	49
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	6.0111234705228	6	6	8	37.3726362625139	37	37	41
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	6.01557285873192	6	6	8	39.3036707452725	39	39	45
MG974447_A_Kansas_14_2017	1847821_A_Kitakyusyu_1_2020	2020.8.1	6.01779755283648	6	6	8	35.3281423804227	35	35	41
MG974447_A_Kansas_14_2017	1847845_A_Saitama_92_2020	2020.4.3	6.01557285873192	6	6	8	37.3236929922136	37	37	43
MG974447_A_Kansas_14_2017	2761581_A_Hessen_26_2020	2020.1.27	6.01779755283648	6	6	8	42.3426028921023	42	42	46
MG974447_A_Kansas_14_2017	2761606_A_Schleswig_Holstein_9_2020	2020.2.10	1.00444938820912	1	1	3	11.083426028921	11	11	15
1592032_A_Hong_Kong_2671_2019	1838078_A_California_55_2020	2020.10.12	3.0111234705228	3	3	5	29.2513904338153	29	29	35
