vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	3.017	3	3	5	18.391	18	16	29
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	2.019	2	2	4	15.398	15	14	28
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	4.018	4	4	6	16.411	16	15	32
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	2.023	2	2	4	15.414	15	14	30
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	0.61	0	0	6	1.368	1	1	20
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	2.021	2	2	4	16.403	16	15	29
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	2.019	2	2	4	15.412	15	14	28
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	3.017	3	3	5	15.423	15	14	28
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	5.017	5	5	7	16.45	16	15	31
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	5.016	5	5	7	12.393	12	11	25
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	3.019	3	3	5	14.428	14	13	27
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	3.018	3	3	5	15.438	15	14	31
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	3.02	3	3	9	14.426	14	13	35
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	2.02	2	2	8	14.396	14	10	33
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	2.023	2	2	4	14.416	14	13	27
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	3.015	3	3	5	12.394	12	10	25
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	4.014	4	4	6	12.401	12	11	22
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	3.021	3	3	5	16.42	16	15	29
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	3.015	3	3	5	12.4	12	11	25
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	3.02	3	3	5	16.405	16	15	22
MG974447_A_Kansas_14_2017	1847821_A_Kitakyusyu_1_2020	2020.8.1	2.023	2	2	4	15.416	15	14	28
MG974447_A_Kansas_14_2017	1847845_A_Saitama_92_2020	2020.4.3	3.021	3	3	5	14.43	14	13	27
MG974447_A_Kansas_14_2017	2761581_A_Hessen_26_2020	2020.1.27	3.016	3	3	5	14.417	14	13	30
MG974447_A_Kansas_14_2017	2761606_A_Schleswig_Holstein_9_2020	2020.2.10	2.019	2	2	4	16.402	16	15	29
1592032_A_Hong_Kong_2671_2019	1838078_A_California_55_2020	2020.10.12	2.016	2	2	8	11.395	11	11	40
1592032_A_Hong_Kong_2671_2019	1847925_A_Vietnam_Vnhcm_Gs483_2020	2020.10.9	2.012	2	2	4	13.374	13	13	39
1592032_A_Hong_Kong_2671_2019	1849665_A_AbuDhabi_01_2021	2021.1.1	1.012	1	1	3	10.357	10	10	36
1592032_A_Hong_Kong_2671_2019	1852226_A_Bangkok_62_2020	2020.11.11	2.012	2	2	4	12.49	12	12	39
1592032_A_Hong_Kong_2671_2019	1858651_A_Pennsylvania_01_2021	2021.3.19	2.018	2	2	4	11.349	11	11	35
1592032_A_Hong_Kong_2671_2019	1861076_A_Laos_580_2021	2021.2.21	2.012	2	2	4	12.38	12	12	38
1592032_A_Hong_Kong_2671_2019	1869531_A_Delaware_01_2021	2021.4.16	2.012	2	2	4	12.434	12	12	39
1592032_A_Hong_Kong_2671_2019	1885447_A_Abu_Dhabi_2210622842_2021	2021.3.3	1.018	1	1	7	10.476	10	10	39
1592032_A_Hong_Kong_2671_2019	1905714_A_India_PUN_NIV323256_2021	2021.6.21	1.014	1	1	3	12.418	12	12	39
1592032_A_Hong_Kong_2671_2019	1905786_A_India_PUN_NIV312063_2021	2021.5.9	1.014	1	1	3	12.316	12	12	38
1592032_A_Hong_Kong_2671_2019	1905802_A_Nepal_Npwr_05637_2021	2021.4.8	3.014	3	3	5	14.288	14	14	38
1592032_A_Hong_Kong_2671_2019	1916915_A_Oklahoma_01_2021	2021.7.6	1.01	1	1	7	7.732	8	7	36
1592032_A_Hong_Kong_2671_2019	1916923_A_Michigan_03_2021	2021.8.18	1.008	1	1	3	12.958	13	12	39
1592032_A_Hong_Kong_2671_2019	1919553_A_YANAO_08_01V_2021	2021.8.8	2.012	2	2	4	13.324	13	13	40
1592032_A_Hong_Kong_2671_2019	1921773_A_Thailand_12_2021	2021.6.24	2.012	2	2	4	12.518	12	12	39
1592032_A_Hong_Kong_2671_2019	1922800_A_Nepal_21FL2699_2021	2021.8.11	2.01	2	2	4	11.335	11	11	35
1592032_A_Hong_Kong_2671_2019	1924350_A_Philippines_6_2021	2021.7.5	3.024	3	3	5	16.426	16	15	28
1592032_A_Hong_Kong_2671_2019	1925236_A_Michigan_05_2021	2021.9.26	2.01	2	2	4	7.905	8	7	34
1592032_A_Hong_Kong_2671_2019	1926248_A_Saint_Petersburg_RII_2415S_2021	2021.1.2	2.016	2	2	8	14.405	14	14	45
1592032_A_Hong_Kong_2671_2019	1940321_A_New_York_03_2021	2021.9.16	2.014	2	2	4	13.286	13	13	37
1592032_A_Hong_Kong_2671_2019	1954438_A_Picardie_28479_2021	2021.9.17	2.012	2	2	4	15.333	15	15	42
1592032_A_Hong_Kong_2671_2019	1967900_A_Pakistan_ICT7_2021	2021.9.16	2.014	2	2	4	13.425	13	13	39
1592032_A_Hong_Kong_2671_2019	1969592_A_Bangladesh_9019_2021	2021.9.20	2.016	2	2	8	13.349	13	13	42
1592032_A_Hong_Kong_2671_2019	EPI2415906_A_Darwin_9_2021	2021.4.17	2.012	2	2	4	11.424	11	11	37
1841681_A_Cambodia_e0826360_2020	19194107_A_Thailand_8_2022	2022.7.11	4.006	4	4	6	6.977	6	6	41
1841681_A_Cambodia_e0826360_2020	1941020_A_Florida_04_2021	2021.10.28	2.002	2	2	3	6.978	6	6	37
1841681_A_Cambodia_e0826360_2020	1952515_A_Pennsylvania_06_2021	2021.11.21	2.004	2	2	4	6.996	6	6	41
1841681_A_Cambodia_e0826360_2020	1958506_A_Khakassia_155_06V_2021	2021.11.30	2.004	2	2	4	7	6	6	41
1841681_A_Cambodia_e0826360_2020	1960344_A_Montana_10_2021	2021.11.29	2.004	2	2	4	6.998	6	6	41
1841681_A_Cambodia_e0826360_2020	1964326_A_California_46_2021	2021.12.19	2.003	2	2	4	6.892	6	6	40
1841681_A_Cambodia_e0826360_2020	1983154_A_Montana_02_2022	2022.1.6	2.004	2	2	4	6.98	6	6	41
1841681_A_Cambodia_e0826360_2020	1992288_A_Wyoming_09_2021	2021.12.2	2.009	2	2	8	6.986	6	6	45
1841681_A_Cambodia_e0826360_2020	2004157_A_North_Dakota_03_2022	2022.2.9	2.007	2	2	8	6.897	6	6	45
1841681_A_Cambodia_e0826360_2020	2007488_A_New_Mexico_07_2022	2022.2.14	2.007	2	2	6	6.898	6	6	43
1841681_A_Cambodia_e0826360_2020	2019560_A_Novosibirsk_RII_MH60652S_2022	2022.1.10	4.004	4	4	6	6.982	6	6	41
1841681_A_Cambodia_e0826360_2020	2042591_A_Picardie_21593_2022	2022.3.21	2.008	2	2	4	7.931	7	7	42
1841681_A_Cambodia_e0826360_2020	2042752_A_Lorraine_23758_2022	2022.3.26	3.002	3	3	4	8.897	8	8	39
1841681_A_Cambodia_e0826360_2020	2042994_A_Lorraine_28541_2022	2022.4.9	2.005	2	2	4	7.912	7	7	42
1841681_A_Cambodia_e0826360_2020	2043548_A_Berlin_23_2022	2022.3.17	2.011	2	2	8	7.899	7	7	46
1841681_A_Cambodia_e0826360_2020	2046104_A_Krasnodar_Krai_183_10V_2021	2021.12.17	1.007	1	1	7	5.849	5	5	44
1841681_A_Cambodia_e0826360_2020	2063583_A_Idaho_25_2022	2022.5.1	2.001	2	2	3	7.845	7	6	29
1841681_A_Cambodia_e0826360_2020	2077428_A_Berlin_61_2022	2022.4.25	4.01	4	4	6	10.482	10	10	37
1841681_A_Cambodia_e0826360_2020	2127871_A_Michigan_35_2022	2022.5.18	5.014	5	5	7	12.357	12	12	34
1841681_A_Cambodia_e0826360_2020	2136215_A_Abu_Dhabi_1812537_2022	2022.6.30	4.012	4	4	10	12.42	12	12	41
1841681_A_Cambodia_e0826360_2020	2176957_A_Florida_70_2022	2022.8.8	5.018	5	5	11	13.47	13	13	42
1841681_A_Cambodia_e0826360_2020	2194875_A_Maldives_875_2022	2022.9.9	2.007	2	2	6	6.959	6	6	43
1841681_A_Cambodia_e0826360_2020	2233523_A_Ayutthaya_NIC_P2289_2022	2022.7.18	3.004	3	3	5	6.005	5	5	36
1841681_A_Cambodia_e0826360_2020	2325220_A_Finland_298_2022	2022.9.4	2.004	2	2	4	8.021	8	6	41
1841681_A_Cambodia_e0826360_2020	2500106_A_ABUDHABI_UAE_1112067_2022	2022.4.25	2.004	2	2	4	6.911	6	6	41
