vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	4.024	4	4	14	20.25	20	20	100
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	0.032	0	0	10	29.571	29	29	110
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	2.04	2	2	12	25.302	25	25	106
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	1.042	1	1	11	25.313	25	25	107
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	2.019	2	2	12	8.216	8	8	110
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	1.042	1	1	11	25.317	25	25	105
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	0.014	0	0	10	30.532	30	30	113
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	1.02	1	1	11	25.215	25	25	105
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	1.04	1	1	11	24.301	24	24	104
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	4.032	4	4	14	26.306	26	26	106
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	1.04	1	1	11	23.925	23	23	103
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	2.044	2	2	12	26.537	26	26	107
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	2.018	2	2	12	23.214	23	23	103
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	2.024	2	2	12	24.24	24	24	104
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	1.042	1	1	11	23.314	23	23	104
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	2.026	2	2	12	22.25	22	22	102
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	5.04	5	5	15	19.312	19	19	100
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	2.026	2	2	12	30.264	30	30	110
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	2.042	2	2	12	22.995	23	21	101
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	2.026	2	2	12	30.262	30	30	110
MG974447_A_Kansas_14_2017	1847821_A_Kitakyusyu_1_2020	2020.8.1	1.026	1	1	11	26.253	26	26	106
MG974447_A_Kansas_14_2017	1847845_A_Saitama_92_2020	2020.4.3	2.04	2	2	12	28.304	28	27	108
MG974447_A_Kansas_14_2017	2761581_A_Hessen_26_2020	2020.1.27	2.04	2	2	12	22.317	22	22	102
MG974447_A_Kansas_14_2017	2761606_A_Schleswig_Holstein_9_2020	2020.2.10	1.02	1	1	11	29.518	29	29	74
1592032_A_Hong_Kong_2671_2019	1838078_A_California_55_2020	2020.10.12	3.028	3	3	15	20.197	20	20	109
1592032_A_Hong_Kong_2671_2019	1847925_A_Vietnam_Vnhcm_Gs483_2020	2020.10.9	4.038	4	4	16	21.209	21	21	79
1592032_A_Hong_Kong_2671_2019	1849665_A_AbuDhabi_01_2021	2021.1.1	2.026	2	2	14	19.236	19	19	108
1592032_A_Hong_Kong_2671_2019	1852226_A_Bangkok_62_2020	2020.11.11	2.036	2	2	14	20.209	20	20	78
1592032_A_Hong_Kong_2671_2019	1858651_A_Pennsylvania_01_2021	2021.3.19	3.034	3	3	15	18.239	18	18	76
1592032_A_Hong_Kong_2671_2019	1861076_A_Laos_580_2021	2021.2.21	2.028	2	2	14	20.236	20	20	109
1592032_A_Hong_Kong_2671_2019	1869531_A_Delaware_01_2021	2021.4.16	3.016	3	3	11	21.164	21	21	59
1592032_A_Hong_Kong_2671_2019	1885447_A_Abu_Dhabi_2210622842_2021	2021.3.3	2.032	2	2	14	21.274	21	21	114
1592032_A_Hong_Kong_2671_2019	1905714_A_India_PUN_NIV323256_2021	2021.6.21	3.014	3	3	11	18.13	18	18	56
1592032_A_Hong_Kong_2671_2019	1905786_A_India_PUN_NIV312063_2021	2021.5.9	4.034	4	4	16	17.237	17	17	75
1592032_A_Hong_Kong_2671_2019	1905802_A_Nepal_Npwr_05637_2021	2021.4.8	3.034	3	3	15	21.281	21	21	109
1592032_A_Hong_Kong_2671_2019	1916915_A_Oklahoma_01_2021	2021.7.6	2.038	2	2	14	17.229	17	17	76
1592032_A_Hong_Kong_2671_2019	1916923_A_Michigan_03_2021	2021.8.18	3.05	3	3	15	20.3	20	19	78
1592032_A_Hong_Kong_2671_2019	1919553_A_YANAO_08_01V_2021	2021.8.8	0	0	0	0	0	0	0	0
1592032_A_Hong_Kong_2671_2019	1921773_A_Thailand_12_2021	2021.6.24	2.014	2	2	10	21.104	21	21	59
1592032_A_Hong_Kong_2671_2019	1922800_A_Nepal_21FL2699_2021	2021.8.11	4.026	4	4	16	22.247	22	22	111
1592032_A_Hong_Kong_2671_2019	1924350_A_Philippines_6_2021	2021.7.5	3.038	3	3	13	23.241	23	23	70
