vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	7.048	7	7	19	5.843	5	5	23
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	10.956	11	9	23	7.729	7	7	25
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	7.046	7	7	19	11.838	11	11	29
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	8.04	8	8	20	9.825	9	9	27
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	1.12	1	1	19	4.094	4	3	27
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	6.04	6	6	18	8.825	8	8	28
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	9.964	10	8	22	7.739	7	7	25
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	8.046	8	8	20	11.824	11	9	27
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	9.045	9	9	21	11.836	11	11	29
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	7.036	7	7	19	9.821	9	9	27
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	7.044	7	7	19	12.842	12	12	30
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	8.043	8	8	20	11.838	11	11	29
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	8.046	8	8	20	12.842	12	12	30
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	9.055	9	9	21	4.859	4	4	28
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	6.04	6	6	18	8.821	8	8	26
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	7.048	7	7	19	9.826	9	9	27
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	7.036	7	7	18	7.812	7	7	22
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	8.042	8	8	20	9.822	9	9	27
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	9.048	9	9	21	8.842	8	8	28
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	6.04	6	6	18	9.821	9	9	27
MG974447_A_Kansas_14_2017	1847821_A_Kitakyusyu_1_2020	2020.8.1	7.04	7	7	19	8.845	8	8	28
MG974447_A_Kansas_14_2017	1847845_A_Saitama_92_2020	2020.4.3	6.04	6	6	18	9.833	9	9	29
MG974447_A_Kansas_14_2017	2761581_A_Hessen_26_2020	2020.1.27	8.04	8	8	20	12.83	12	12	30
MG974447_A_Kansas_14_2017	2761606_A_Schleswig_Holstein_9_2020	2020.2.10	9.981	10	8	20	6.723	6	6	26
1592032_A_Hong_Kong_2671_2019	1838078_A_California_55_2020	2020.10.12	6.025	6	6	12	10.218	10	10	21
1592032_A_Hong_Kong_2671_2019	1847925_A_Vietnam_Vnhcm_Gs483_2020	2020.10.9	6.026	6	6	17	9.218	9	9	24
