StrainName,vaccine_code,Year,Month,Day,Dom,Dom_prob,PB2_Nonsyn,PB1_Nonsyn,PA_Nonsyn,HA_Nonsyn,NP_Nonsyn,NA_Nonsyn,M_Nonsyn,NS_Nonsyn,PB2_Syn,PB1_Syn,PA_Syn,HA_Syn,NP_Syn,NA_Syn,M_Syn,NS_Syn
EPI103320_A_Moscow_10_1999,Mos99,1999,6,30,0,0.024824009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY114324_A_Netherlands_3_2000,Mos99,2000,1,6,0,0,2.010011123,1.016,1.006,16.75991108,4,2.787,3.067,0,18.27586207,12.124,6.026,11.30974435,8.364,3.498,8.351,4.127
CY003287_A_New_York_438_2000,Mos99,2000,1,18,0,0,1.012235818,1.006,1.002,13.7610226,5,2.74,4.064,4,19.21913237,6.076,9.052,10.2826973,12.425,3.436,8.352,4.298
CY114340_A_Netherlands_126_2001,Mos99,2001,3,21,0,0.039273805,3.012235818,2.012,3.047,16.75879956,6,8.947,5.049,5,8.088987764,16.391,13.206,15.21415339,18.88,5.753,9.478,9.382
CY002335_A_New_York_77_2001,Mos99,2001,12,26,0,0,2.022246941,3.014,6.01,17.30196369,8,11.199,3.06,4,35.62625139,26.402,19.269,21.97332345,22.497,24.38,9.371,9.472
CY112948_A_Netherlands_1_2002,Mos99,2002,1,7,0,0,4.0378198,4.016,7.016,18.24712857,9,8.181,3.058,5,37.76418242,23.478,20.302,19.73879215,23.33,19.52,9.38,7.589
CY000216_A_New_York_91_2002,Mos99,2002,1,17,0,0,2.022246941,3.016,6.01,17.30344572,8,11.173,3.062,4,29.64404894,27.417,19.279,20.99184883,25.537,24.39,10.373,11.48
CY013812_A_New_York_C4_2002,Mos99,2002,2,1,0,0,3.022246941,3.014,7.01,18.30196369,8,12.197,3.06,5,32.63848721,27.418,19.273,19.99110782,26.526,24.387,9.373,8.476
CY000552_A_New_York_115_2002,Mos99,2002,2,7,0,0,2.022246941,3.016,6.01,18.30270471,8,11.199,3.062,4,32.6240267,25.42,19.275,19.99407188,24.522,23.381,10.375,8.474
EPI358781_A_Fujian_411_2002,Mos99,2002,7,1,1,0.567617636,3.013348165,2.014,3.052,29.34383105,5,12.207,4.236,4,26.42936596,19.365,13.126,29.99481289,9.517,15.878,11.249,5.13
