vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	31.3212300852167	31	31	36	42.0574286772879	42	39	50
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	2.97925157465728	3	2	5	11.960726194887	12	9	14
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	35.7821415339014	36	35	39	40.4690626157836	40	38	48
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	33.7932567617636	34	33	38	46.5331604297888	46	44	54
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	3.98147462022971	4	3	6	13.9592441645054	14	11	16
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	35.7947387921452	36	35	39	45.5320489070026	45	43	53
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	3.98221563542053	4	3	6	12.9740644683216	13	10	16
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	37.7873286402371	38	37	41	44.5750277880697	44	42	52
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	36.7828825490923	37	36	40	40.4623934790663	40	38	48
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	34.2793627269359	34	34	38	44.0166728417933	44	41	52
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	35.7843645794739	36	35	39	44.4953686550574	44	42	53
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	36.8273434605409	37	36	42	43.4786958132642	43	40	51
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	38.7858466098555	39	38	42	43.5668766209707	43	41	51
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	35.2834383104854	35	35	38	44.1478325305669	44	41	52
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	33.7939977769544	34	33	38	46.5320489070026	46	44	54
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	39.2845498332716	39	39	43	45.0181548721749	45	42	53
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	34.2778806965543	34	34	38	40.0011115227862	40	37	48
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	38.7988143756947	39	38	43	47.5487217487958	47	45	55
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	37.2889959244164	37	37	41	43.0240829937014	43	40	51
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	38.7995553908855	39	38	43	48.5498332715821	48	46	56
MG974447_A_Kansas_14_2017	1847821_A_Kitakyusyu_1_2020	2020.8.1	34.7947387921452	35	34	38	51.5761393108559	52	49	59
MG974447_A_Kansas_14_2017	1847845_A_Saitama_92_2020	2020.4.3	40.8232678769915	41	40	45	49.556131900704	49	47	57
MG974447_A_Kansas_14_2017	2761581_A_Hessen_26_2020	2020.1.27	37.7865876250463	38	37	41	43.5668766209707	43	41	51
MG974447_A_Kansas_14_2017	2761606_A_Schleswig_Holstein_9_2020	2020.2.10	4.98517969618377	5	4	7	13.9903668025195	14	11	17
1592032_A_Hong_Kong_2671_2019	1838078_A_California_55_2020	2020.10.12	18.691367173027	19	17	22	17.7676917376806	18	17	24
1592032_A_Hong_Kong_2671_2019	1847925_A_Vietnam_Vnhcm_Gs483_2020	2020.10.9	18.6887736198592	19	17	22	18.7728788440163	19	18	25
1592032_A_Hong_Kong_2671_2019	1849665_A_AbuDhabi_01_2021	2021.1.1	22.7010003705076	23	21	26	18.8158577250834	19	17	25
1592032_A_Hong_Kong_2671_2019	1852226_A_Bangkok_62_2020	2020.11.11	18.6887736198592	19	17	22	22.7795479807336	23	22	29
1592032_A_Hong_Kong_2671_2019	1858651_A_Pennsylvania_01_2021	2021.3.19	23.6998888477214	24	22	27	21.8062245276028	22	20	28
1592032_A_Hong_Kong_2671_2019	1861076_A_Laos_580_2021	2021.2.21	18.68951463505	19	17	22	19.7869581326417	20	19	26
1592032_A_Hong_Kong_2671_2019	1869531_A_Delaware_01_2021	2021.4.16	23.7024824008892	24	22	27	21.8114116339385	22	20	28
1592032_A_Hong_Kong_2671_2019	1885447_A_Abu_Dhabi_2210622842_2021	2021.3.3	23.699518340126	24	22	27	19.8077065579844	20	18	26
1592032_A_Hong_Kong_2671_2019	1905714_A_India_PUN_NIV323256_2021	2021.6.21	25.7054464616525	26	24	30	21.8103001111523	22	20	28
1592032_A_Hong_Kong_2671_2019	1905786_A_India_PUN_NIV312063_2021	2021.5.9	21.7002593553168	22	20	27	20.8099296035569	21	19	27
1592032_A_Hong_Kong_2671_2019	1905802_A_Nepal_Npwr_05637_2021	2021.4.8	20.7002593553168	21	19	24	19.8032604668396	20	18	26
