vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	15.435	15	14	49	12.196	12	12	52
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	5.012	5	3	28	4.132	4	2	21
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	13.647	13	13	48	12.167	12	12	52
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	15.59	15	15	28	10.096	10	10	19
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	8.099	8	6	33	9.093	9	7	37
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	16.63	16	16	31	10.142	10	10	32
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	6.123	6	4	52	5.108	5	3	53
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	13.649	13	13	48	13.165	13	13	53
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	14.647	14	14	49	14.161	14	14	54
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	14.651	14.5	14	49	13.178	13	12	55
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	13.649	13	13	48	11.163	11	11	51
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	16.652	16.5	16	51	13.159	13	13	53
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	13.649	13	13	48	12.163	12	12	52
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	14.382	14	13	26	15.099	15	15	24
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	16.653	16	16	51	13.163	13	13	53
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	12.651	12.5	12	47	12.147	12	12	52
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	12.705	13	12	47	12.153	12	12	52
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	16.604	16	16	30	13.115	13	13	26
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	12.651	12.5	12	47	13.149	13	13	53
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	16.632	16	16	31	14.14	14	14	34
