vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	1.017	1	1	5	15.731	16	15	67
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	2.023	2	2	6	16.764	17	16	68
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	3.013	3	3	7	14.743	15	14	66
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	3.046	3	3	19	13.836	14	13	86
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	1.004	1	1	5	8.06	8	7	65
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	2.03	2	2	18	12.757	13	12	84
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	2.023	2	2	6	13.823	14	13	65
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	4.013	4	4	8	12.767	13	12	64
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	4.013	4	4	8	13.735	14	13	65
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	1.009	1	1	5	15.882	16	14	63
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	4.014	4	4	8	12.712	13	10	62
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	3.035	3	3	19	15.863	16	15	87
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	3.035	3	3	19	16.894	17	16	88
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	1.015	1	1	5	13.743	14	13	61
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	3.015	3	3	7	11.693	12	11	59
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	1.028	1	1	17	23.697	24	21	93
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	2.015	2	2	9	13.737	14	12	68
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	3.041	3	3	19	13.842	14	13	85
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	1.008	1	1	3	17.644	18	16	21
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	3.037	3	3	19	13.827	14	13	85
MG974447_A_Kansas_14_2017	1847821_A_Kitakyusyu_1_2020	2020.8.1	2.015	2	2	6	12.695	13	12	60
MG974447_A_Kansas_14_2017	1847845_A_Saitama_92_2020	2020.4.3	2.043	2	2	18	12.838	13	12	84
MG974447_A_Kansas_14_2017	2761581_A_Hessen_26_2020	2020.1.27	3.035	3	3	19	16.9	17	16	88
MG974447_A_Kansas_14_2017	2761606_A_Schleswig_Holstein_9_2020	2020.2.10	2.023	2	2	6	13.821	14	13	65
1592032_A_Hong_Kong_2671_2019	1838078_A_California_55_2020	2020.10.12	2.035	2	2	20	17.694	17	16	91
1592032_A_Hong_Kong_2671_2019	1847925_A_Vietnam_Vnhcm_Gs483_2020	2020.10.9	3.018	3	3	9	15.623	15	14	69
1592032_A_Hong_Kong_2671_2019	1849665_A_AbuDhabi_01_2021	2021.1.1	3.043	3	3	21	19.833	19	18	93
1592032_A_Hong_Kong_2671_2019	1852226_A_Bangkok_62_2020	2020.11.11	2.036	2	2	20	17.698	17	16	91
1592032_A_Hong_Kong_2671_2019	1858651_A_Pennsylvania_01_2021	2021.3.19	3.023	3	3	12	19.733	19	18	75
1592032_A_Hong_Kong_2671_2019	1861076_A_Laos_580_2021	2021.2.21	3.018	3	3	9	17.627	17	16	71
1592032_A_Hong_Kong_2671_2019	1869531_A_Delaware_01_2021	2021.4.16	3.043	3	3	21	21.816	21	20	94
1592032_A_Hong_Kong_2671_2019	1885447_A_Abu_Dhabi_2210622842_2021	2021.3.3	3.043	3	3	21	20.83	20	19	93
1592032_A_Hong_Kong_2671_2019	1905714_A_India_PUN_NIV323256_2021	2021.6.21	3.043	3	3	21	19.84	19	18	93
1592032_A_Hong_Kong_2671_2019	1905786_A_India_PUN_NIV312063_2021	2021.5.9	3.036	3	3	21	19.792	19	18	95
1592032_A_Hong_Kong_2671_2019	1905802_A_Nepal_Npwr_05637_2021	2021.4.8	3.016	3	3	9	18.7	18	17	72
1592032_A_Hong_Kong_2671_2019	1916915_A_Oklahoma_01_2021	2021.7.6	1.041	1	1	19	15.756	15	14	89
1592032_A_Hong_Kong_2671_2019	1916923_A_Michigan_03_2021	2021.8.18	1.033	1	1	19	15.687	15	14	89
1592032_A_Hong_Kong_2671_2019	1919553_A_YANAO_08_01V_2021	2021.8.8	3.043	3	3	21	20.818	20	19	94
1592032_A_Hong_Kong_2671_2019	1921773_A_Thailand_12_2021	2021.6.24	2.04	2	2	20	17.705	17	16	93
1592032_A_Hong_Kong_2671_2019	1922800_A_Nepal_21FL2699_2021	2021.8.11	5.018	5	5	11	21.726	21	20	75
1592032_A_Hong_Kong_2671_2019	1924350_A_Philippines_6_2021	2021.7.5	1.035	1	1	17	19.843	20	18	91
1592032_A_Hong_Kong_2671_2019	1925236_A_Michigan_05_2021	2021.9.26	2.047	2	2	20	18.817	18	17	94
1592032_A_Hong_Kong_2671_2019	1926248_A_Saint_Petersburg_RII_2415S_2021	2021.1.2	8.032	8	8	17	28.794	29	27	84
1592032_A_Hong_Kong_2671_2019	1940321_A_New_York_03_2021	2021.9.16	3.043	3	3	21	20.81	20	19	93
1592032_A_Hong_Kong_2671_2019	1954438_A_Picardie_28479_2021	2021.9.17	3.043	3	3	21	22.826	22	21	96
1592032_A_Hong_Kong_2671_2019	1967900_A_Pakistan_ICT7_2021	2021.9.16	4.037	4	4	22	20.792	20	19	93
1592032_A_Hong_Kong_2671_2019	1969592_A_Bangladesh_9019_2021	2021.9.20	3.034	3	3	21	24.792	24	23	100
1592032_A_Hong_Kong_2671_2019	EPI2415906_A_Darwin_9_2021	2021.4.17	3.043	3	3	21	18.84	18	17	91
1841681_A_Cambodia_e0826360_2020	19194107_A_Thailand_8_2022	2022.7.11	3.028	3	3	23	15.563	15	14	97
1841681_A_Cambodia_e0826360_2020	1941020_A_Florida_04_2021	2021.10.28	3.018	3	3	14	10.467	10	9	76
